Tag,SAP Tag,SAP Description,P&ID TAG,P&ID Number,Datasheet Tag,Tier,LOD,Inst Type,Manufacturer,Model number,ManufSerialNo.
TX775021,TX775021,TX775021 TEMP XTR ON HE7750B COND OUT,TX775021,M7750 WFE Skid ELD,TX775021,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
PSV775026,PSV775026,PSV775026 PRESS SFTY VLV ON HE7750B HTF,PSV775026,M7750 WFE Skid ELD,PSV775026,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
PCV775019,PCV775019,PCV775019 PRESS CTRL VLV ON HE7750B VAP,PCV775019,M7750 WFE Skid ELD,PCV775019,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
R7750,R7750,R7750 DISTILLATE RECEIVER,R7750,M7750 WFE Skid ELD,R7750,1,LOD300,DISTILLATE RECEIVER,CRP,"DTSG 4"" PFA Lined","DTSG 4"" PFA Lined"
LX775023,LX775023,LX775023 LEVEL XTR ON R7750,LX775023,M7750 WFE Skid ELD,LX775023,2,LOD300,LEVEL TRANSMITTER,UNKNOWN,Unknown,Unknown
LSH775024,LSH775024,LSH775024 HIGH LVL SWITCH ON R7750,LAH775024,M7750 WFE Skid ELD,LAH775024,2,LOD300,LEVEL SWITCH,UNKNOWN,Unknown,Unknown
P7709A,P7709A,P7709A M7709 DIAPHRAGM PUMP,P7709A,M7709 DP Pump Skid ELD,P7709A,2,LOD300,PUMP,UNKNOWN,Unknown,Unknown
PX770903A,PX770903A,PX770903A PRESS XTR ON P7709A DISCHARGE,PX770903A,M7709 DP Pump Skid ELD,PX770903A,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770908A,PSV770908A,PSV770908A PRESS SFTY VLV ON P7790A,PSV770908A,M7709 DP Pump Skid ELD,PSV770908A,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
LCV770904A,LCV770904A,LCV770904A CTRL VALVE ON P7709A DISCHG,LCV770904A,M7709 DP Pump Skid ELD,LCV770904A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
P7709B,P7709B,P7709B M7709 DIAPHRAGM PUMP,P7709B,M7709 DP Pump Skid ELD,P7709B,1,LOD300,PUMP,HYDRACELL,DO3EKSJSFEHK,DO3EKSJSFEHK
PX770903B,PX770903B,PX770903B PRESS XTR ON P7709B DISCHARGE,PX770903B,M7709 DP Pump Skid ELD,PX770903B,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770908B,PSV770908B,PSV770908B PRESS SFTY VLV ON P7790B,PSV770908B,M7709 DP Pump Skid ELD,PSV770908B,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
HX7471A,HX7471A,HX7471A P-7471 DW THERM TCU COOLER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 3HH-34/1/1,46371
HX7471B,HX7471B,HX7471B P-7471 DW THERM TCU HEATER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 2HA-34/1/1,46369
PSV747101,PSV747101,PSV747101 PRESS SFTY VLV ON HX7471,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,SAFETY VALVE,FARRIS,27CA33-220/S4/SP,27CA33-220/S4/SP
PSV747102,PSV747102,PSV747102 PRESS SFTY VLV ON HX7471A,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,SAFETY VALVE,UNKNOWN,Unknown,Unknown
TCV747101,TCV747101,TCV747101 HX7471A SYLTHERM SUP CTRL VLV,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,FISHER,24000CVF,NPS 1/2 24000CVF 32 Size 32
TCV747102,TCV747102,TCV747102 STEAM CTRL VLV ON HX7471B,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,BURKERT,8802-GB-B,Type 8802-GB-B
PX747103,PX747103,PX747103 PRESS XTR ON HX7471B STEAM SUP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,PRESSURE TRANSMITTER,EMERSON ROSEMOUNT,3051S,"3051S2TG2A2A11A1BB4
I1M5Q4Q8"
HX7471,HX7471,P7471 HX7471 TCU PUMP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,HMD KONTRO,GTA 1x1x6 CA1,GTA 1x1x6 CA1
FX747471,FX747471,FX747471 FLOW XTR ON HX7471 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,"Promass F 200,8F2B25","Promass F 200,8F2B25"
TX747101,TX747101,TX747101 TEMP XTR ON HX7471 TCU RETURN,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
TX747102,TX747102,TX747102 TEMP XTR ON HX7471 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
T7471,T7471,T7471 HX7471 TCU EXPANSION TANK,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TANK,ALMARC,CTSG,SS316 Flanged Unlined CTSG
LSH747101,LSH747101,LSH747101 HIGH LVL SWITCH ON T7471,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,LEVEL SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82BB8G1C + KEZ1
LSL747102,LSL747102,LSL747102 LOW LVL SWITCH ON T7471,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82YY8G1C + KEZ1
PSF747471,PSF747471,PSF747471 BURST DISC ON T7471,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,BURSTING DISC,ELFAB,DSC-OPS-025-SSU-XXX,DSC-OPS-025-SSU-XXX
HX7472A,HX7472A,HX7472A P-7472 DW THERM TCU COOLER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 3HH-34/1/1,46372
HX7472B,HX7472B,HX7472B P-7472 DW THERM TCU HEATER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 2HA-34/1/1,46370
PSV747201,PSV747201,PSV747201 PRESS SFTY VLV ON HX7472,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,SAFETY VALVE,FARRIS,27CA33-220/S4/SP,27CA33-220/S4/SP
PSV747202,PSV747202,PSV747202 PRESS SFTY VLV ON HX742A,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,SAFETY VALVE,FARRIS,27CA33-220/S4/SP,27CA33-220/S4/SP
TCV747201,TCV747201,TCV747201 HX7472A SYLTHERM SUP CRTL VLV,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,FISHER,24000CVF,NPS 1/2 24000CVF 32 Size 32
TCV747202,TCV747202,TCV747202 STEAM CTRL VLV ON HX7472B,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,BURKERT,8802-GB-B,Type 8802-GB-B
PX747203,PX747203,PX747203 PRESS XTR ON HX7472B STEAM SUP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,PRESSURE TRANSMITTER,EMERSON ROSEMOUNT,3051S,"3051S2TG2A2A11A1BB4
I1M5Q4Q8"
HX7472,HX7472,P7472 HX7472 TCU PUMP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,HMD KONTRO,GTA 1x1x6 CA1,GTA 1x1x6 CA1
FX747472,FX747472,FX747472 FLOW XTR ON HX7472 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,"Promass F 200,8F2B25","Promass F 200,8F2B25"
TX747201,TX747201,TX747201 TEMP XTR ON HX7472 TCU RETURN,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
TX747202,TX747202,TX747202 TEMP XTR ON HX7472 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
T7472,T7472,T7472 HX7472 TCU EXPANSION TANK,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TANK,ALMARC,CTSG,SS316 Flanged Unlined CTSG
LSH747201,LSH747201,LSH747201 HIGH LVL SWITCH ON T7472,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,LEVEL SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82BB8G1C + KEZ1
LSL747202,LSL747202,LSL747202 LOW LVL SWITCH ON T7472,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82YY8G1C + KEZ1
PSF747472,PSF747472,PSF747472 BURST DISC ON T7472,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,BURSTING DISC,ELFAB,DSC-OPS-025-SSU-XXX,DSC-OPS-025-SSU-XXX
HX7473A,HX7473A,HX7473A P-7473 DW THERM TCU COOLER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 3HH-34/1/1,46374
HX7473B,HX7473B,HX7473B P-7473 DW THERM TCU HEATER,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,VAHTERUS,PSHE 2HA-34/1/1,46373
PSV747301,PSV747301,PSV747301 PRESS SFTY VLV ON HX7473,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,SAFETY VALVE,FARRIS,27CA33-220/S4/SP,27CA33-220/S4/SP
PSV747302,PSV747302,PSV747302 PRESS SFTY VLV ON HX7473,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,SAFETY VALVE,FARRIS,27CA33-220/S4/SP,27CA33-220/S4/SP
TCV747301,TCV747301,TCV747301 HX7473A SYLTHERM SUP CRTL VLV,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,FISHER,24000CVF,NPS 1/2 24000CVF 32 Size 32
TCV747302,TCV747302,TCV747302 STEAM CTRL VLV ON HX7473B,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,CONTROL VALVE,BURKERT,8802-GB-B,Type 8802-GB-B
PX747303,PX747303,PX747303 PRESS XTR ON HX7473B STEAM SUP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,PRESSURE TRANSMITTER,EMERSON ROSEMOUNT,3051S,"3051S2TG2A2A11A1BB4
I1M5Q4Q8"
HX7473,HX7473,P7473 HX7473 TCU PUMP,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,HMD KONTRO,GTA 1x1x6 CA1,GTA 1x1x6 CA1
FX747473,FX747473,FX747473 FLOW XTR ON HX7473 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,"Promass F 200,8F2B25","Promass F 200,8F2B25"
TX747301,TX747301,TX747301 TEMP XTR ON HX7473 TCU RETURN,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
TX747302,TX747302,TX747302 TEMP XTR ON HX7473 TCU SUPPLY,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TEMP TRANSMITTER,EMERSON ROSEMOUNT,3144PD2A2I1M5C2Q4XA,3144PD2A2I1M5C2Q4XA
T7473,T7473,T7473 HX7473 TCU EXPANSION TANK,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TANK,ALMARC,CTSG,SS316 Flanged Unlined CTSG
LSH747301,LSH747301,LSH747301 HIGH LVL SWITCH ON T7473,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,LEVEL SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82BB8G1C + KEZ1
LSL747302,LSL747302,LSL747302 LOW LVL SWITCH ON T7473,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,SWITCH,ENDRESS + HAUSER,FTL51-FA82BB8G1C,FTL51-FA82YY8G1C + KEZ1
PSF747473,PSF747473,PSF747473 BURST DISC ON T7473,Not on P&ID,Not on P&ID,No Data Sheet Available,1,LOD300,BURSTING DISC,ELFAB,DSC-OPS-025-SSU-XXX,DSC-OPS-025-SSU-XXX
T7430,T7430,T7430 FD7530 CONDENSATE KNOCKOUT POT,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TANK,ALMARC,CTSG,SS316 Flanged Unlined CTSG
LSH753009,LSH753009,LSH753009 HIGH LVL SWITCH ON T7430,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,LEVEL SWITCH,ENDRESS + HAUSER,FTL51C,FTL51C-FA8NBN8G1YA
T7440,T7440,T7440 FD7540 CONDENSATE KNOCKOUT POT,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,TANK,ALMARC,CTSG,SS316 Flanged Unlined CTSG
LSH754009,LSH754009,LSH754009 HIGH LVL SWITCH ON T7440,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,LEVEL SWITCH,ENDRESS + HAUSER,FTL51C,FTL51C-FA8NBN8G1YA
WI753088,WI753088,WI753088 GLOVEBOX WEIGH SCALE M-7558,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,WEIGH SCALE,Unknown,Unknown,Unknown
WI754088,WI754088,WI754088 GLOVEBOX WEIGH SCALE M-7569,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,WEIGH SCALE,Unknown,Unknown,Unknown
PRV754024C,PRV754024C,PRV754024C N2 PRESS REG VLV C ON FD-7540,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,UNKNOWN,Unknown,Unknown,Unknown
PSH754005,PSH754005,PSH754005 GB PRESS SWITCH HIGH ON M-7568,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,PRESSURE SWITCH,Unknown,Unknown,Unknown
PSL754006,PSL754006,PSL754006 GB PRESS SWITCH LOW ON M-7568,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,PRESSURE SWITCH,Unknown,Unknown,Unknown
SI757521,SI757521,SI757521 V7520 AGITATOR SPEED,Not on P&ID,Not on P&ID,No Data Sheet Available,2,LOD300,AGITATOR,Unknown,Unknown,Unknown
BPV770608A,Not in SAP,Not in SAP,BPV770608A,M7706 Pump Skid ELD,BPV770608A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
TX7740,Not in SAP,Not in SAP,TX7740,M7706 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7706A,Not in SAP,Not in SAP,F7706A,M7706 Pump Skid ELD,F7706A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7706A31,Not in SAP,Not in SAP,HE7706A31,M7706 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7706A30,Not in SAP,Not in SAP,HE7706A30,M7706 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770608B,Not in SAP,Not in SAP,BPV770608B,M7706 Pump Skid ELD,BPV770608B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
P0604B,Not in SAP,Not in SAP,P0604B,M7706 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7706B,Not in SAP,Not in SAP,F7706B,M7706 Pump Skid ELD,F7706B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770611A,Not in SAP,Not in SAP,FCV770611A,M7706 Pump Skid ELD,FCV770611A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770611B,Not in SAP,Not in SAP,FCV770611B,M7706 Pump Skid ELD,FCV770611B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
PX770617A,Not in SAP,Not in SAP,PX770617A,M7706 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
R770707,Not in SAP,Not in SAP,R770707,M7707 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770703A,Not in SAP,Not in SAP,XC770703A,M7707 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770703B,Not in SAP,Not in SAP,XC770703B,M7707 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770708A,Not in SAP,Not in SAP,BPV770708A,M7707 Pump Skid ELD,BPV770708A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7707A,Not in SAP,Not in SAP,F7707A,M7707 Pump Skid ELD,F7707A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7707A31,Not in SAP,Not in SAP,HE7707A31,M7707 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7707A30,Not in SAP,Not in SAP,HE7707A30,M7707 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770708B,Not in SAP,Not in SAP,BPV770708B,M7707 Pump Skid ELD,BPV770708B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7707B,Not in SAP,Not in SAP,F7707B,From Text,F7707B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770711A,Not in SAP,Not in SAP,FCV770711A,M7707 Pump Skid ELD,FCV770711A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770711B,Not in SAP,Not in SAP,FCV770711B,M7707 Pump Skid ELD,FCV770711B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
R770807,Not in SAP,Not in SAP,R770807,M7708 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770803A,Not in SAP,Not in SAP,XC770803A,M7708 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770803B,Not in SAP,Not in SAP,XC770803B,M7708 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770808A,Not in SAP,Not in SAP,BPV770808A,M7708 Pump Skid ELD,BPV770808A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7708A,Not in SAP,Not in SAP,F7708A,From Text,F7708A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7708A31,Not in SAP,Not in SAP,HE7708A31,M7708 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7708A30,Not in SAP,Not in SAP,HE7708A30,M7708 Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770808B,Not in SAP,Not in SAP,BPV770808B,M7708 Pump Skid ELD,BPV770808B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
F7708B,Not in SAP,Not in SAP,F7708B,From Text,F7708B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770811A,Not in SAP,Not in SAP,FCV770811A,M7708 Pump Skid ELD,FCV770811A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770811B,Not in SAP,Not in SAP,FCV770811B,M7708 Pump Skid ELD,FCV770811B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770815B,Not in SAP,Not in SAP,FCV770815B,M7708 Pump Skid ELD,FCV770815B,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SIC7742278,Not in SAP,Not in SAP,SIC7742278,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770901A,Not in SAP,Not in SAP,XC770901A,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XDP770909A,Not in SAP,Not in SAP,XDP770909A,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV770906A,Not in SAP,Not in SAP,XCV770906A,M7709 DP Pump Skid ELD,XCV770906A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV770905A,Not in SAP,Not in SAP,XCV770905A,M7709 DP Pump Skid ELD,XCV770905A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV770907A,Not in SAP,Not in SAP,BPV770907A,M7709 DP Pump Skid ELD,BPV770907A,2,LOD300,#NAME?,Unknown,Unknown,Unknown
FCV770910A,Not in SAP,Not in SAP,FCV770910A,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
SIC770902B,Not in SAP,Not in SAP,SIC770902B,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC770901B,Not in SAP,Not in SAP,XC770901B,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
P43322,Not in SAP,Not in SAP,P43322,M7709 DP Pump Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772025,Not in SAP,Not in SAP,XCV772025,M7720 Reactor Skid ELD,XCV772025,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772001,Not in SAP,Not in SAP,XCV772001,M7720 Reactor Skid ELD,XCV772001,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772004,Not in SAP,Not in SAP,BPV772004,M7720 Reactor Skid ELD,BPV772004,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772003,Not in SAP,Not in SAP,XCV772003,M7720 Reactor Skid ELD,XCV772003,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772008,Not in SAP,Not in SAP,BPV772008,M7720 Reactor Skid ELD,BPV772008,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772021,Not in SAP,Not in SAP,XCV772021,M7720 Reactor Skid ELD,XCV772021,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772007,Not in SAP,Not in SAP,XCV772007,M7720 Reactor Skid ELD,XCV772007,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772024,Not in SAP,Not in SAP,BPV772024,M7720 Reactor Skid ELD,BPV772024,2,LOD300,#NAME?,Unknown,Unknown,Unknown
HE7720B2.,Not in SAP,Not in SAP,HE7720B2.,M7720 Reactor Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
TI7715,Not in SAP,Not in SAP,TI7715,M7720 Reactor Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772005,Not in SAP,Not in SAP,XCV772005,M7720 Reactor Skid ELD,XCV772005,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772006,Not in SAP,Not in SAP,BPV772006,M7720 Reactor Skid ELD,BPV772006,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772102,Not in SAP,Not in SAP,BPV772102,M7721 Reactor Skid ELD ,BPV772102,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772101,Not in SAP,Not in SAP,XCV772101,M7721 Reactor Skid ELD ,XCV772101,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772104,Not in SAP,Not in SAP,BPV772104,M7721 Reactor Skid ELD ,BPV772104,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772103,Not in SAP,Not in SAP,XCV772103,M7721 Reactor Skid ELD ,XCV772103,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772108,Not in SAP,Not in SAP,BPV772108,M7721 Reactor Skid ELD ,BPV772108,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772107,Not in SAP,Not in SAP,XCV772107,M7721 Reactor Skid ELD ,XCV772107,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772124,Not in SAP,Not in SAP,BPV772124,M7721 Reactor Skid ELD ,BPV772124,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV772121,Not in SAP,Not in SAP,XCV772121,M7721 Reactor Skid ELD ,XCV772121,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV7743139,Not in SAP,Not in SAP,BPV7743139,M7722 RECEIVER Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV772207,Not in SAP,Not in SAP,BPV772207,M7722 RECEIVER Skid ELD,BPV772207,2,LOD300,#NAME?,Unknown,Unknown,Unknown
TX7750,Not in SAP,Not in SAP,TX7750,M7722 RECEIVER Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
P2202,Not in SAP,Not in SAP,P2202,M7722 RECEIVER Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
PRV775030,Not in SAP,Not in SAP,PRV775030,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV775023,Not in SAP,Not in SAP,XCV775023,M7750 WFE Skid ELD,XCV775023,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV775009,Not in SAP,Not in SAP,XCV775009,M7750 WFE Skid ELD,XCV775009,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV775029,Not in SAP,Not in SAP,XCV775029,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
PI775029,Not in SAP,Not in SAP,PI775029,M7750 WFE Skid ELD,PI775029,2,LOD300,#NAME?,Unknown,Unknown,Unknown
LSL775004,Not in SAP,Not in SAP,LAL775004,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XC775005,Not in SAP,Not in SAP,XC775005,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
ZI775012,Not in SAP,Not in SAP,ZI775012,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV775012,Not in SAP,Not in SAP,BPV775012,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
BPV775003,Not in SAP,Not in SAP,BPV775003,M7750 WFE Skid ELD,BPV775003,2,LOD300,#NAME?,Unknown,Unknown,Unknown
XCV775022,Not in SAP,Not in SAP,XCV775022,M7750 WFE Skid ELD,XCV775022,2,LOD300,#NAME?,Unknown,Unknown,Unknown
TCV7720/15,Not in SAP,Not in SAP,TCV7720/15,M7750 WFE Skid ELD,No Data Sheet Available,2,LOD300,#NAME?,Unknown,Unknown,Unknown
TCV775010,Not in SAP,Not in SAP,TCV775010,M7750 WFE Skid ELD,TCV775010,2,LOD300,#NAME?,Unknown,Unknown,Unknown
